Student_ID,Course_Code,Mark,Assessment_Date,Academic_Year,Semester,Attendance_Rate,Source_Campus_File_x,Campus_ID,Dataset_Type_x,Mark_scaled,Attendance_Rate_scaled,Campus_Name_Huye,Campus_Name_Kigali,Campus_Name_Musanze,Assessment_Type_CAT,Assessment_Type_Formative,Assessment_Type_Summative,Performance_Band,Full_Name,Gender,DOB,Program,Level,Intake_Year,Source_Campus_File_y,Campus_Name_x,Dataset_Type_y,Course_Title,Credits,Source_Campus_File,Campus_Name_y,Dataset_Type
HUY-26117,CS102,66.5,2024-07-10,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,0.1097662002714234,1,0,0,1,0,0,Credit,Aline Niyonsenga,Female,2023-03-22,SOFTWARE ENG,1,2023,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26129,CS104,50.0,2024-03-06,2024/2025,1,0.6,Huyeassessmentscsv,HUY-26,assessments,-1.7301199031595411,-1.1982810196297042,1,0,0,0,1,0,Pass,Patrick Habimana,Female,2023-03-22,SOFTWARE ENG,1,2022,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26111,CS101,73.25,2023-09-14,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,1.4178134201725503,1,0,0,1,0,0,Credit,Aline Nsabimana,Female,2023-03-22,COMPUTER SCIENCE,2,2022,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26114,CS101,78.0,2023-01-08,2024/2025,2,0.8,Huyeassessmentscsv,HUY-26,assessments,1.3044706506644843,0.1097662002714234,1,0,0,1,0,0,Credit,Aline Habimana,Female,2023-03-22,SOFTWARE ENG,2,2024,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26124,CS103,62.0,2023-01-08,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,-0.4295810943778158,1.4178134201725503,1,0,0,0,1,0,Pass,Grace Uwimana,Male,2023-03-22,INFORMATION TECH,3,2023,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26111,CS104,66.5,2024-01-12,2024/2025,2,1.0,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,1.4178134201725503,1,0,0,0,0,1,Credit,Aline Nsabimana,Female,2023-03-22,COMPUTER SCIENCE,2,2022,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26114,CS102,66.5,2023-01-15,2024/2025,2,0.6,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,-1.1982810196297042,1,0,0,0,1,0,Credit,Aline Habimana,Female,2023-03-22,SOFTWARE ENG,2,2024,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26107,CS101,73.25,2023-01-08,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,0.1097662002714234,1,0,0,1,0,0,Credit,Patrick Niyonsenga,Female,2023-12-31,SOFTWARE ENG,1,2022,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26105,CS103,62.0,2023-01-08,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,-0.4295810943778158,0.1097662002714234,1,0,0,1,0,0,Pass,Bob Uwimana,Female,2023-03-22,INFORMATION TECH,3,2024,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26122,CS102,66.5,2024-09-14,2024/2025,2,1.0,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,1.4178134201725503,1,0,0,0,1,0,Credit,Claudine Mukamana,Female,2023-03-22,SOFTWARE ENG,3,2023,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26105,CS104,66.5,2023-10-08,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,1.4178134201725503,1,0,0,0,1,0,Credit,Bob Uwimana,Female,2023-03-22,INFORMATION TECH,3,2024,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26106,CS103,62.0,2023-01-08,2024/2025,2,0.8,Huyeassessmentscsv,HUY-26,assessments,-0.4295810943778158,0.1097662002714234,1,0,0,0,0,1,Pass,Eric Uwimana,Female,2023-03-22,INFORMATION TECH,3,2023,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26134,CS102,66.5,2023-01-08,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,0.1097662002714234,1,0,0,1,0,0,Credit,Patrick Nsabimana,Male,2023-03-22,SOFTWARE ENG,2,2022,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26114,CS102,66.5,2023-01-08,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,1.4178134201725503,1,0,0,1,0,0,Credit,Aline Habimana,Female,2023-03-22,SOFTWARE ENG,2,2024,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26102,CS102,66.5,2023-01-08,2024/2025,2,1.0,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,1.4178134201725503,1,0,0,0,0,1,Credit,Patrick Niyonsenga,Male,2024-04-26,DATA SCIENCE,3,2023,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26119,CS104,66.5,2023-01-08,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,1.4178134201725503,1,0,0,0,1,0,Credit,Claudine Nsabimana,Female,2023-03-22,DATA SCIENCE,2,2023,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26122,CS101,73.25,2023-01-08,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,0.1097662002714234,1,0,0,0,0,1,Credit,Claudine Mukamana,Female,2023-03-22,SOFTWARE ENG,3,2023,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26135,CS101,88.0,2023-01-08,2024/2025,2,0.6,Huyeassessmentscsv,HUY-26,assessments,2.3882529913159223,-1.1982810196297042,1,0,0,0,1,0,Distinction,Bob Mukamana,Female,2023-03-22,COMPUTER SCIENCE,2,2023,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26110,CS104,66.5,2023-01-08,2024/2025,2,1.0,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,1.4178134201725503,1,0,0,0,1,0,Credit,Claudine Niyonsenga,Female,2023-03-22,SOFTWARE ENG,2,2022,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26104,CS103,82.0,2023-01-08,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,1.7379835869250595,1.4178134201725503,1,0,0,0,1,0,Distinction,Jean Uwimana,Female,2023-03-22,COMPUTER SCIENCE,3,2024,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26116,CS102,66.5,2024-10-17,2024/2025,2,0.8,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,0.1097662002714234,1,0,0,0,1,0,Credit,Grace Mukamana,Female,2023-03-22,SOFTWARE ENG,2,2022,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26132,CS101,73.25,2023-01-08,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,1.4178134201725503,1,0,0,0,0,1,Credit,Patrick Nsabimana,Female,2023-03-22,INFORMATION TECH,3,2022,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26138,CS104,66.5,2023-01-08,2024/2025,2,0.8,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,0.1097662002714234,1,0,0,0,1,0,Credit,Claudine Nsabimana,Female,2023-03-22,SOFTWARE ENG,2,2024,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26115,CS103,62.0,2023-01-08,2024/2025,1,0.8,Huyeassessmentscsv,HUY-26,assessments,-0.4295810943778158,0.1097662002714234,1,0,0,0,1,0,Pass,Alice Uwimana,Female,2023-03-22,DATA SCIENCE,3,2022,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26112,CS101,73.25,2024-01-03,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,1.4178134201725503,1,0,0,0,0,1,Credit,Jean Mukamana,Male,2023-03-22,COMPUTER SCIENCE,1,2024,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26103,CS101,73.25,2023-01-08,2024/2025,2,0.8,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,0.1097662002714234,1,0,0,0,1,0,Credit,Claudine Niyonsenga,Female,2023-03-22,COMPUTER SCIENCE,1,2024,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26110,CS101,73.25,2023-01-08,2024/2025,2,0.8,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,0.1097662002714234,1,0,0,0,0,1,Credit,Claudine Niyonsenga,Female,2023-03-22,SOFTWARE ENG,2,2022,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26133,CS104,83.0,2023-01-08,2024/2025,1,1.0,Huyeassessmentscsv,HUY-26,assessments,1.8463618209902035,1.4178134201725503,1,0,0,1,0,0,Distinction,Claudine Habimana,Male,2023-03-22,INFORMATION TECH,1,2022,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26119,CS103,42.11211892697259,2023-03-15,2024/2025,2,0.8,Huyeassessmentscsv,HUY-26,assessments,-2.584994524370123,0.1097662002714234,1,0,0,0,1,0,Fail,Claudine Nsabimana,Female,2023-03-22,DATA SCIENCE,2,2023,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26135,CS103,62.0,2023-06-15,2024/2025,1,0.6,Huyeassessmentscsv,HUY-26,assessments,-0.4295810943778158,-1.1982810196297042,1,0,0,0,1,0,Pass,Bob Mukamana,Female,2023-03-22,COMPUTER SCIENCE,2,2023,Huyestudentscsv,Huye,students,Cyber security,3.0,Huyecoursescsv,Huye,courses
HUY-26128,CS101,73.25,2024-08-28,2024/2025,2,0.6,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,-1.1982810196297042,1,0,0,0,0,1,Credit,Aline Uwimana,Female,2023-03-22,INFORMATION TECH,3,2024,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26139,CS102,66.5,2023-01-08,2024/2025,2,0.6,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,-1.1982810196297042,1,0,0,0,1,0,Credit,Aline Nsabimana,Female,2023-03-22,DATA SCIENCE,3,2022,Huyestudentscsv,Huye,students,Databases,4.0,Huyecoursescsv,Huye,courses
HUY-26100,CS104,66.5,2023-01-08,2024/2025,1,0.6,Huyeassessmentscsv,HUY-26,assessments,0.0581209589153311,-1.1982810196297042,1,0,0,0,0,1,Credit,Eric Niyonsenga,Male,2024-07-30,SOFTWARE ENG,3,2024,Huyestudentscsv,Huye,students,Machine Learning,4.0,Huyecoursescsv,Huye,courses
HUY-26137,CS101,73.25,2024-03-23,2024/2025,2,1.0,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,1.4178134201725503,1,0,0,0,1,0,Credit,Aline Nsabimana,Female,2023-03-22,SOFTWARE ENG,3,2023,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
HUY-26131,CS101,73.25,2023-02-15,2024/2025,1,0.6,Huyeassessmentscsv,HUY-26,assessments,0.7896740388550516,-1.1982810196297042,1,0,0,0,0,1,Credit,Patrick Habimana,Male,2023-03-22,COMPUTER SCIENCE,1,2022,Huyestudentscsv,Huye,students,Programming,3.0,Huyecoursescsv,Huye,courses
KIG-25102,CS104,62.0,2024-09-07,2024/2025,2,0.8,Kigaliassessmentscsv,KIG-25,assessments,-0.4295810943778158,0.1097662002714234,0,1,0,1,0,0,Pass,Bob Uwimana,Female,2024-01-10,SOFTWARE ENG,1,2023,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25138,CS102,79.0,2023-01-25,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,1.4128488847296283,-1.1982810196297042,0,1,0,0,1,0,Credit,Patrick Nsabimana,Male,2024-01-10,INFORMATION TECH,2,2023,Kigalistudentscsv,Kigali,students,Databases,4.0,Kigalicoursescsv,Kigali,courses
KIG-25115,CS102,79.0,2023-01-25,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,1.4128488847296283,-1.1982810196297042,0,1,0,0,1,0,Credit,Jean Nsabimana,Male,2024-01-10,SOFTWARE ENG,1,2024,Kigalistudentscsv,Kigali,students,Databases,4.0,Kigalicoursescsv,Kigali,courses
KIG-25117,CS103,70.66666666666667,2024-06-26,2024/2025,2,0.8,Kigaliassessmentscsv,KIG-25,assessments,0.509696934186764,0.1097662002714234,0,1,0,1,0,0,Credit,Patrick Uwimana,Female,2024-01-10,SOFTWARE ENG,1,2022,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25120,CS104,64.33333333333333,2023-01-25,2024/2025,1,0.8,Kigaliassessmentscsv,KIG-25,assessments,-0.1766985482258142,0.1097662002714234,0,1,0,0,1,0,Pass,Eric Habimana,Female,2024-01-10,SOFTWARE ENG,1,2023,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25130,CS101,59.5,2023-01-25,2024/2025,1,0.8,Kigaliassessmentscsv,KIG-25,assessments,-0.7005266795406753,0.1097662002714234,0,1,0,0,1,0,Pass,Grace Niyonsenga,Female,2024-01-10,COMPUTER SCIENCE,1,2022,Kigalistudentscsv,Kigali,students,Programming,3.0,Kigalicoursescsv,Kigali,courses
KIG-25106,CS101,52.0,2023-05-27,2024/2025,2,0.8,Kigaliassessmentscsv,KIG-25,assessments,-1.5133634350292535,0.1097662002714234,0,1,0,1,0,0,Pass,Eric Habimana,Female,2024-01-10,INFORMATION TECH,1,2023,Kigalistudentscsv,Kigali,students,Programming,3.0,Kigalicoursescsv,Kigali,courses
KIG-25107,CS104,64.33333333333333,2023-01-25,2024/2025,1,0.6,Kigaliassessmentscsv,KIG-25,assessments,-0.1766985482258142,-1.1982810196297042,0,1,0,0,0,1,Pass,Alice Nsabimana,Female,2024-01-10,DATA SCIENCE,1,2024,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25101,CS103,70.66666666666667,2023-01-25,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,0.509696934186764,-1.1982810196297042,0,1,0,0,1,0,Credit,Bob Habimana,Female,2024-01-10,COMPUTER SCIENCE,1,2023,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25121,CS104,52.0,2023-01-25,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,-1.5133634350292535,-1.1982810196297042,0,1,0,1,0,0,Pass,Alice Habimana,Female,2024-01-10,INFORMATION TECH,3,2023,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25125,CS104,47.0,2023-01-25,2024/2025,2,0.8,Kigaliassessmentscsv,KIG-25,assessments,-2.0552546053549725,0.1097662002714234,0,1,0,1,0,0,Fail,Eric Habimana,Male,2023-08-03,COMPUTER SCIENCE,3,2022,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25138,CS104,64.33333333333333,2023-05-14,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,-0.1766985482258142,-1.1982810196297042,0,1,0,0,0,1,Pass,Patrick Nsabimana,Male,2024-01-10,INFORMATION TECH,2,2023,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25110,CS101,59.5,2023-12-10,2024/2025,2,1.0,Kigaliassessmentscsv,KIG-25,assessments,-0.7005266795406753,1.4178134201725503,0,1,0,0,0,1,Pass,Bob Uwimana,Male,2024-01-10,COMPUTER SCIENCE,1,2023,Kigalistudentscsv,Kigali,students,Programming,3.0,Kigalicoursescsv,Kigali,courses
KIG-25105,CS103,84.0,2023-01-25,2024/2025,1,1.0,Kigaliassessmentscsv,KIG-25,assessments,1.954740055055347,1.4178134201725503,0,1,0,1,0,0,Distinction,Bob Habimana,Female,2024-11-10,DATA SCIENCE,3,2023,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25103,CS101,59.5,2023-01-25,2024/2025,2,0.8,Kigaliassessmentscsv,KIG-25,assessments,-0.7005266795406753,0.1097662002714234,0,1,0,0,1,0,Pass,Jean Nsabimana,Female,2024-06-08,INFORMATION TECH,3,2023,Kigalistudentscsv,Kigali,students,Programming,3.0,Kigalicoursescsv,Kigali,courses
KIG-25102,CS103,70.66666666666667,2023-01-25,2024/2025,1,0.6,Kigaliassessmentscsv,KIG-25,assessments,0.509696934186764,-1.1982810196297042,0,1,0,1,0,0,Credit,Bob Uwimana,Female,2024-01-10,SOFTWARE ENG,1,2023,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25139,CS101,59.5,2023-01-25,2024/2025,2,0.8,Kigaliassessmentscsv,KIG-25,assessments,-0.7005266795406753,0.1097662002714234,0,1,0,0,0,1,Pass,Jean Mukamana,Female,2024-01-10,COMPUTER SCIENCE,3,2023,Kigalistudentscsv,Kigali,students,Programming,3.0,Kigalicoursescsv,Kigali,courses
KIG-25106,CS104,66.0,2023-01-25,2024/2025,1,0.6,Kigaliassessmentscsv,KIG-25,assessments,0.0039318418827592,-1.1982810196297042,0,1,0,0,1,0,Credit,Eric Habimana,Female,2024-01-10,INFORMATION TECH,1,2023,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25125,CS101,67.0,2023-01-25,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,0.112310075947903,-1.1982810196297042,0,1,0,0,1,0,Credit,Eric Habimana,Male,2023-08-03,COMPUTER SCIENCE,3,2022,Kigalistudentscsv,Kigali,students,Programming,3.0,Kigalicoursescsv,Kigali,courses
KIG-25113,CS103,70.66666666666667,2023-01-25,2024/2025,1,0.6,Kigaliassessmentscsv,KIG-25,assessments,0.509696934186764,-1.1982810196297042,0,1,0,0,0,1,Credit,Patrick Habimana,Female,2024-01-10,INFORMATION TECH,1,2023,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25115,CS103,54.0,2023-07-14,2024/2025,1,0.6,Kigaliassessmentscsv,KIG-25,assessments,-1.296606966898966,-1.1982810196297042,0,1,0,1,0,0,Pass,Jean Nsabimana,Male,2024-01-10,SOFTWARE ENG,1,2024,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25128,CS102,79.0,2023-01-25,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,1.4128488847296283,-1.1982810196297042,0,1,0,0,0,1,Credit,Jean Mukamana,Female,2024-01-10,COMPUTER SCIENCE,1,2024,Kigalistudentscsv,Kigali,students,Databases,4.0,Kigalicoursescsv,Kigali,courses
KIG-25128,CS103,70.66666666666667,2023-01-25,2024/2025,1,1.0,Kigaliassessmentscsv,KIG-25,assessments,0.509696934186764,1.4178134201725503,0,1,0,0,1,0,Credit,Jean Mukamana,Female,2024-01-10,COMPUTER SCIENCE,1,2024,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25131,CS102,79.0,2023-01-25,2024/2025,1,1.0,Kigaliassessmentscsv,KIG-25,assessments,1.4128488847296283,1.4178134201725503,0,1,0,1,0,0,Credit,Alice Mukamana,Female,2024-01-10,DATA SCIENCE,1,2023,Kigalistudentscsv,Kigali,students,Databases,4.0,Kigalicoursescsv,Kigali,courses
KIG-25106,CS103,88.0,2023-01-25,2024/2025,2,0.8,Kigaliassessmentscsv,KIG-25,assessments,2.3882529913159223,0.1097662002714234,0,1,0,0,1,0,Distinction,Eric Habimana,Female,2024-01-10,INFORMATION TECH,1,2023,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25109,CS102,79.0,2024-04-12,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,1.4128488847296283,-1.1982810196297042,0,1,0,0,0,1,Credit,Aline Mukamana,Female,2024-01-10,INFORMATION TECH,2,2024,Kigalistudentscsv,Kigali,students,Databases,4.0,Kigalicoursescsv,Kigali,courses
KIG-25136,CS101,59.5,2023-01-25,2024/2025,1,0.8,Kigaliassessmentscsv,KIG-25,assessments,-0.7005266795406753,0.1097662002714234,0,1,0,0,1,0,Pass,Bob Habimana,Female,2024-01-10,COMPUTER SCIENCE,3,2023,Kigalistudentscsv,Kigali,students,Programming,3.0,Kigalicoursescsv,Kigali,courses
KIG-25110,CS104,64.33333333333333,2023-01-25,2024/2025,2,0.6,Kigaliassessmentscsv,KIG-25,assessments,-0.1766985482258142,-1.1982810196297042,0,1,0,0,0,1,Pass,Bob Uwimana,Male,2024-01-10,COMPUTER SCIENCE,1,2023,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25110,CS104,86.0,2023-01-25,2024/2025,1,0.8,Kigaliassessmentscsv,KIG-25,assessments,2.1714965231856347,0.1097662002714234,0,1,0,0,1,0,Distinction,Bob Uwimana,Male,2024-01-10,COMPUTER SCIENCE,1,2023,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25105,CS104,64.33333333333333,2023-01-25,2024/2025,1,1.0,Kigaliassessmentscsv,KIG-25,assessments,-0.1766985482258142,1.4178134201725503,0,1,0,0,0,1,Pass,Bob Habimana,Female,2024-11-10,DATA SCIENCE,3,2023,Kigalistudentscsv,Kigali,students,Machine Learning,4.0,Kigalicoursescsv,Kigali,courses
KIG-25129,CS103,70.66666666666667,2023-01-25,2024/2025,2,1.0,Kigaliassessmentscsv,KIG-25,assessments,0.509696934186764,1.4178134201725503,0,1,0,0,0,1,Credit,Bob Uwimana,Male,2024-01-10,COMPUTER SCIENCE,1,2022,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
KIG-25128,CS101,59.5,2023-01-25,2024/2025,1,0.8,Kigaliassessmentscsv,KIG-25,assessments,-0.7005266795406753,0.1097662002714234,0,1,0,1,0,0,Pass,Jean Mukamana,Female,2024-01-10,COMPUTER SCIENCE,1,2024,Kigalistudentscsv,Kigali,students,Programming,3.0,Kigalicoursescsv,Kigali,courses
KIG-25132,CS103,70.66666666666667,2024-11-04,2024/2025,1,1.0,Kigaliassessmentscsv,KIG-25,assessments,0.509696934186764,1.4178134201725503,0,1,0,0,1,0,Credit,Grace Nsabimana,Female,2024-01-10,SOFTWARE ENG,3,2023,Kigalistudentscsv,Kigali,students,Cyber security,3.0,Kigalicoursescsv,Kigali,courses
